Year,DefenseBudget
1960,47.35
1961,49.88
1962,54.65
1963,54.56
1964,53.43
1965,54.56
1966,66.44
1967,78.4
1968,84.33
1969,84.99
1970,83.41
1971,78.24
1972,80.71
1973,81.47
1974,89.28
1975,92.08
1976,94.72
1977,104.67
1978,113.38
1979,126.88
1980,143.69
1981,176.56
1982,221.67
1983,223.43
1984,245.15
1985,272.16
1986,295.55
1987,304.09
1988,309.66
1989,321.87
1990,325.13
1991,299.37
1992,325.03
1993,316.72
1994,308.08
1995,295.85
1996,287.96
1997,293.17
1998,291
1999,298.09
2000,320.09
2001,331.81
2002,378.46
2003,440.53
2004,493
2005,533.2
2006,558.34
2007,589.59
2008,656.76
2009,705.92
2010,738.01
2011,752.29
2012,725.21
2013,679.23
2014,647.79
2015,633.83
2016,639.86
2017,646.75
2018,682.49
2019,731.75
2020,778
